msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0300	0	False	Spot_0	unknown	unknown	3	2.030999959	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0300', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0301	0	True	Spot_0	SV	unknown	3	4.0609999	36.53400064	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0301', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0302	0	True	Spot_0	CSW	unknown	3	2.030999959	37.54899859	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0302', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0303	0	True	Spot_0	SV	unknown	3	4.0609999	39.57800031	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0303', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0304	0	True	Spot_0	QC MIX22	unknown	3	4.0609999	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0304', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0305	0	True	Spot_0	WB	unknown	3	5.076000094	40.59500098	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0305', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0306	0	True	Spot_0	ULW CAT	unknown	3	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0306', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0307	0	True	Spot_0	ULW CAT	unknown	3	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0307', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0308	0	True	Spot_0	ULW CAT	unknown	3	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0308', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0309	0	True	Spot_0	SV	unknown	3	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0309', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0310	0	True	Spot_0	SML CAT	unknown	3	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0310', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0311	0	True	Spot_0	SML CAT	unknown	3	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0311', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0312	0	True	Spot_0	SML CAT	unknown	3	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0312', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0400	0	False	Spot_0	unknown	unknown	4	7.106000036	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0400', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0401	0	True	Spot_0	SV	unknown	4	5.076000094	36.53400064	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0401', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0402	0	True	Spot_0	CSW	unknown	4	4.0609999	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0402', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
